"coverageStatus","generationBucket","referenceStatus","coverageSource","graceSku","websiteSku","family","productGroupSlug","itemName","color","capacity","capacityMl","applicator","capStyle","capColor","materialBucket","currentImageUrl","currentImageUrlCapOff","coverageEvidenceUrl","referenceSource","referencePath","referenceUrl","productUrl","missingPromptFields"
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-RND-FRS-78ML-RDC-MSLV","GBRndFrst78RdcrMtSl","Round","","Round design 78 ml, 2.65oz frosted glass bottle with reducer and silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Round design bottle is available in 2 sizes - 78ml and 128 ml. Price each","Frosted","78 ml (2.64 oz)","78","Reducer","Screw Cap","Matte Silver","frosted","https://www.bestbottles.com/images/store/enlarged_pics/GBRndFrst78RdcrMtSl.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Round/GB-RND-FRS-78ML-RDC-MSLV_1779532325262_ur3x7q.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-reducer-silver-matte-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-SQR-CLR-15ML-MRL-SBLK","GBSqr15MtlRollBlkSh","Square","","Square design 15ml, 1/2oz Clear glass bottle with metal roller ball plug and black shiny cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price ea","Clear","15 ml (0.51 oz)","15","Metal Roller Ball","Roll-On","Shiny Black","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBSqr15MtlRollBlkSh.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-SQR-CLR-15ML-MRL-SBLK__GBSqr15MtlRollBlkSh__pdp-main__v001.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/square-design-15-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-EMP-CLR-50ML-AST-WHT","GBEmp50AnSpTslWht","Empire","","Empire design 50 ml, 1.7oz  clear glass bottle  with White vintage style bulb sprayer with tassel with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhanc","Clear","50 ml (1.69 oz)","50","Vintage Bulb Sprayer with Tassel","Spray","White","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778801614828-7296413a-bb82-41ac-b404-a0c25a134088.png?v=1779037375","https://cdn.sanity.io/images/gh97irjh/production/625c2a62e987a68e38b28c393708f5974c2dd2ba-2080x2288.png","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778801614828-7296413a-bb82-41ac-b404-a0c25a134088.png?v=1779037375","","","","https://www.bestbottles.com/product/empire-design-50-ml-glass-bottle-white-vintage-style-sprayer-with-tassel-shiny-silver-collar",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-RND-FRS-128ML-ASP-MSLV","GBRndFrst128AnSpMtSl","Round","","Round design 128 ml, 4.33oz frosted glass bottle with matte silver vintage style sprayer with matte silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea","Frosted","128 ml (4.33 oz)","128","Vintage Bulb Sprayer","Spray","Matte Silver","frosted","https://www.bestbottles.com/images/store/enlarged_pics/GBRndFrst128AnSpMtSl.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Round/GB-RND-FRS-128ML-ASP-MSLV_1779532373102_yulpff.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-matte-silver-vintage-style-sprayer-matte-silver-collar-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","LB-ELG-FRS-100ML-LPM-SGLD","LBElgFrst100LtnShnGl","Elegant","","Elegant design 100 ml, 3 1/2oz frosted glass bottle with shiny gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Elegant bottle is a family of bottles avail","Frosted","100 ml (3.38 oz)","100","Lotion Pump","Screw Cap","Shiny Gold","frosted","https://www.bestbottles.com/images/store/enlarged_pics/LBElgFrst100LtnShnGl.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Elegant/LB-ELG-FRS-100ML-LPM-SGLD_1779482822537_l1jj4h.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-shiny-gold-lotion-pump-and-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-RND-FRS-78ML-RDC-WHT","GBRndFrst78RdcrWht","Round","","Round design 78 ml, 2.65oz frosted glass bottle with reducer and white cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Round design bottle is available in 2 sizes - 78ml and 128 ml. Price each","Frosted","78 ml (2.64 oz)","78","Reducer","Screw Cap","White","frosted","https://www.bestbottles.com/images/store/enlarged_pics/GBRndFrst78RdcrWht.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Round/GB-RND-FRS-78ML-RDC-WHT_1779532330358_e3fszx.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-reducer-white-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-SLM-CLR-5ML-ATM-SLV-T","GBAtom5SlimSl","Atomizer","","Silver slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each","Clear","5 ml (0.17 oz)","5","Atomizer","Tall","Silver","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588140614_j2unbh_fa555608-e72c-471a-8506-6fe01160585d.png?v=1779602557","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588140614_j2unbh_fa555608-e72c-471a-8506-6fe01160585d.png?v=1779602557","","","","https://www.bestbottles.com/product/silver-slim-atomizer-design-5-ml-bottle",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","LB-CYL-CLR-100ML-LPM-COCP","LBCyl100LtnClOvrCap","Cylinder","","Cylinder design 100 ml, 3 1/2oz clear glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Cylinde","Clear","100 ml (3.38 oz)","100","Lotion Pump","Pump","Clear Overcap","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779522046471_dbtg17.png?v=1779522248","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779522046471_dbtg17.png?v=1779522248","","","","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-RYL-CLR-13ML-ROL-SSLV","GBRoyal13RollSlSh","Royal","","Royal design 13ml, 1/2oz Clear glass bottle with plastic roller ball plug and shiny silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price","Clear","13 ml (0.44 oz)","13","Plastic Roller Ball","Roll-On","Shiny Silver","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBRoyal13RollSlSh.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/best-bottles/local-generation/reference-backed-clear-remaining-batch-001-nb2-2026-06-09/cap-on/GB-RYL-CLR-13ML-ROL-SSLV.png","generated_images","","","https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-plastic-roller-ball-plug-shiny-silver-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-SQR-CLR-15ML-MRL-MCPR","GBSqr15MtlRollCuMatt","Square","","Square design 15ml, 1/2oz Clear glass bottle with metal roller ball plug and matte copper cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price e","Clear","15 ml (0.51 oz)","15","Metal Roller Ball","Roll-On","Matte Copper","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBSqr15MtlRollCuMatt.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-SQR-CLR-15ML-MRL-MCPR__GBSqr15MtlRollCuMatt__pdp-main__v001.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/square-design-15-ml-glass-bottle-metal-roller-ball-plug-matte-copper-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-EMP-CLR-50ML-AST-MSLV","GBEmp50AnSpTslMtSl","Empire","","Empire design 50 ml, 1.7oz  clear glass bottle  with Silver vintage style bulb sprayer with tassel with matte silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhan","Clear","50 ml (1.69 oz)","50","Vintage Bulb Sprayer with Tassel","Spray","Matte Silver","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778801678964-0943aa37-f4cb-47a2-b413-d1383a717cbd.png?v=1779037371","https://cdn.sanity.io/images/gh97irjh/production/625c2a62e987a68e38b28c393708f5974c2dd2ba-2080x2288.png","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778801678964-0943aa37-f4cb-47a2-b413-d1383a717cbd.png?v=1779037371","","","","https://www.bestbottles.com/product/empire-design-50-ml-glass-bottle-matte-silver-vintage-style-sprayer-with-tassel-matte-silver-collar",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-RND-FRS-128ML-ASP-WHT","GBRndFrst128AnSpWht","Round","","Round design 128 ml, 4.33oz frosted glass bottle with white vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beaut","Frosted","128 ml (4.33 oz)","128","Vintage Bulb Sprayer","Spray","White","frosted","https://www.bestbottles.com/images/store/enlarged_pics/GBRndFrst128AnSpWht.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Round/GB-RND-FRS-128ML-ASP-WHT_1779532395078_oogfvt.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-white-vintage-style-bulb-sprayer-shiny-silver-collar-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","LB-ELG-FRS-100ML-LPM-SBLK","LBElgFrst100LtnShnBlk","Elegant","","Elegant design 100 ml, 3 1/2oz frosted glass bottle with shiny black lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Elegant bottle is a family of bottles avai","Frosted","100 ml (3.38 oz)","100","Lotion Pump","Pump","Shiny Black","frosted","https://www.bestbottles.com/images/store/enlarged_pics/LBElgFrst100LtnShnBlk.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Elegant/LB-ELG-FRS-100ML-LPM-SBLK_1779482829011_ktk292.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-shiny-black-lotion-pump-and-cap",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","GB-CYL-CLR-5ML-ATM-SLV-03","GBAtom5SlStars","Atomizer","","Silver atomizer design 5 ml bottle with star patterns. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each","Clear","5 ml (0.17 oz)","5","Atomizer","Spray","Silver","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588197499_i22fdn_cbc7a9bb-6df6-475a-8e20-5e6730a03743.png?v=1779603554","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588197499_i22fdn_cbc7a9bb-6df6-475a-8e20-5e6730a03743.png?v=1779603554","","","","https://www.bestbottles.com/product/silver-atomizer-design-5-ml-bottle-star-patterns",""
"covered","covered_existing_media","not_needed","convex_shopify_cdn","LB-DVA-CLR-100ML-LPM-COCP","LBDiva100LtnClOvrCap","Diva","","Diva design 100 ml, 3 1/2oz clear glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Our Classic","Clear","100 ml (3.38 oz)","100","Lotion Pump","Pump","Clear Overcap","clear","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779489587697_xgompz.png?v=1779490542","","https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779489587697_xgompz.png?v=1779490542","","","","https://www.bestbottles.com/product/diva-design-100-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-RND-FRS-78ML-RDC-IVLT","GBRndFrst78RdcrIvyLthr","Round","","Round design 78 ml, 2.65oz frosted glass bottle with reducer and ivory faux leather cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Round design bottle is available in 2 sizes - 78ml and 128 ml. Price each","Frosted","78 ml (2.64 oz)","78","Reducer","Faux Leather","Ivory Leather","frosted","https://www.bestbottles.com/images/store/enlarged_pics/GBRndFrst78RdcrIvyLthr.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Round/GB-RND-FRS-78ML-RDC-IVLT_1779532324417_hu478m.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-reducer-ivory-faux-leather-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-CIR-CLR-15ML-ROL-SBLK","GBCrcl15RollBlkSh","Circle","","Circle design 15ml, 1/2oz Clear glass bottle with plastic roller ball plug and black shiny cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price","Clear","15 ml (0.51 oz)","15","Plastic Roller Ball","Roll-On","Shiny Black","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl15RollBlkSh.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/best-bottles/local-generation/reference-backed-clear-remaining-batch-001-nb2-2026-06-09/cap-on/GB-CIR-CLR-15ML-ROL-SBLK.png","generated_images","","","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-black-shiny-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-SQR-CLR-15ML-MRL-MGLD","GBSqr15MtlRollGlMatt","Square","","Square design 15ml, 1/2oz Clear glass bottle with metal roller ball plug and matte gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price eac","Clear","15 ml (0.51 oz)","15","Metal Roller Ball","Screw Cap","Matte Gold","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBSqr15MtlRollGlMatt.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-SQR-CLR-15ML-MRL-MGLD__GBSqr15MtlRollGlMatt__pdp-main__v001.png","best_bottles_pipeline_sku_jobs","","","https://www.bestbottles.com/product/square-design-15-ml-glass-bottle-metal-roller-ball-plug-matte-gold-cap",""
"covered","covered_madison_not_synced","not_needed","madison_generated_evidence","GB-SLK-CLR-50ML-ASP-LVN","GBSlk50AnSpLvn","Sleek","","Sleek design 50 ml, 1.7oz  clear glass bottle  with lavender vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau","Clear","50 ml (1.69 oz)","50","Vintage Bulb Sprayer","Spray","Lavender","clear","https://www.bestbottles.com/images/store/enlarged_pics/GBSlk50AnSpLvn.gif","","https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/best-bottles/local-generation/reference-backed-clear-remaining-batch-001-nb2-2026-06-09/cap-on/GB-SLK-CLR-50ML-ASP-LVN.png","generated_images","","","https://www.bestbottles.com/product/sleek-design-50-ml-glass-bottle-lavender-vintage-style-bulb-sprayer-shiny-silver-collar-cap",""
