group,sourceOptionId,sourceSkuKey,imageUrl,evidenceStatus
Faux-leather cap,3673,CP18-415BlkLthr,https://www.bestbottles.com/images/store/caps/CP18-415RdcrLIvyLthr.png,Accessories selector
Faux-leather cap,3674,CP18-415BlkLthr,https://www.bestbottles.com/images/store/caps/CP18-415RdcrLPnkLthr.png,Accessories selector
Travel / liner cap,3671,CP18-415MtSl,https://www.bestbottles.com/images/store/caps/CP18-415RdcrMtSl.png,Accessories selector
Travel / liner cap,3670,CP18-415MtSl,https://www.bestbottles.com/images/store/caps/CP18-415RdcrMtSlTall.png,Accessories selector
Travel / liner cap,3664,CP18-415MtSl,https://www.bestbottles.com/images/store/caps/CP18-415RdcrShnBlkTall.png,Accessories selector
Travel / liner cap,3663,CP18-415MtSl,https://www.bestbottles.com/images/store/caps/CP18-415RdcrShnGl.png,Accessories selector
Travel / liner cap,3669,CP18-415MtSl,https://www.bestbottles.com/images/store/caps/CP18-415RdcrShnSl.png,Accessories selector
Travel / liner cap,3672,CP18-415MtSl,https://www.bestbottles.com/images/store/caps/CP18-415RdcrWh.png,Accessories selector
Fine-mist sprayer,3679,Spry18-415Cu,https://www.bestbottles.com/images/store/caps/CP18-415SpryCu.png,Accessories selector
Fine-mist sprayer,3675,Spry18-415Cu,https://www.bestbottles.com/images/store/caps/CP18-415SpryMtGl.png,Accessories selector
Fine-mist sprayer,3678,Spry18-415Cu,https://www.bestbottles.com/images/store/caps/CP18-415SpryMtSl.png,Accessories selector
Fine-mist sprayer,3677,Spry18-415Cu,https://www.bestbottles.com/images/store/caps/CP18-415SpryShnBlk.png,Accessories selector
Fine-mist sprayer,3676,Spry18-415Cu,https://www.bestbottles.com/images/store/caps/CP18-415SpryShnGl.png,Accessories selector
Fine-mist sprayer,3680,Spry18-415Cu,https://www.bestbottles.com/images/store/caps/CP18-415SpryShnSl.png,Accessories selector
Treatment / lotion pump,,Ltn18-415MtGl,,Separate website listing
Dropper,,Drp18-415Cu,,Individual website product page
Dropper,,Drp18-415Gl,,Individual website product page
Dropper,,Drp18-415Sl,,Individual website product page
Travel / liner cap,,CP18-415ShnBlk (short),,Master image + assembled bottle website page; standalone selector not verified
Vintage bulb sprayer,,AnSp18-415Wht,,Master image + assembled bottle website page; missing from selector
