websiteSku,convexRecordId,sourceDisposition,nextAction,candidateSources,originalHolds,newArtworkRequired,plateStatus
LBCyl25LtnShnGl,kd7b4zjggrqh4phv1h14c98d0981vypq,Alternate master source candidate; identity pending,Compare 25 mL exact product photograph and measurements with 30 mL named master,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/1.  30ml Cyl, Ltn & Spry, capped/18. LBCyl30LtnShnGl.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /18. LBCyl30LtnShnGl.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /16. LBCyl30LtnShnGl.psd",match:no-psd,Not established,Held pending integration/validation
LBCyl25LtnShnSl,kd7b395j82cvcrh5egj1pq7sed81vvpz,Alternate master source candidate; identity pending,Compare 25 mL exact product photograph and measurements with 30 mL named master,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/1.  30ml Cyl, Ltn & Spry, capped/32. LBCyl30LtnShnSl.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /31. LBCyl30LtnShnSl.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /32. LBCyl30LtnShnSl.psd",match:no-psd,Not established,Held pending integration/validation
LBcyl25LtnClOvrCap,kd72tmnj5bkxsjvny7pxd1k9n981t0f7,Alternate master source candidate; identity pending,Compare 25 mL exact product photograph and measurements with 30 mL named master,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/1.  30ml Cyl, Ltn & Spry, capped/28. LBCyl30LtnClOvrCap.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /28. LBCyl30LtnClOvrCap.psd | 2.  18-415 Bottles /1. Cylindrical 25ml /1. Cylindrical 30ml PSD /27. LBCyl30LtnClOvrCap.psd",match:no-psd,Not established,Held pending integration/validation
GBCyl1ozRollWht,kd7cxga66f2v8bww6zdk9awgcx81v2ke,Master filename lineage verified,Review source crosswalk and exposed roller layers; rerender,13. 16 mm/1. 28ml Capped/4.  GBCyl28RollWht.psd | 13. 16 mm/2. 28ml  Uncapped/4.  GBCyl28RollWht.psd,match:no-psd,Not established,Held pending integration/validation
GBMtlRoll28Blk,kd712tkda2qy1c8m943kp8bra981tp75,Master filename lineage verified,Review source crosswalk and exposed roller layers; rerender,13. 16 mm/1. 28ml Capped/1. GBCyl28MtlRollBlk.psd | 13. 16 mm/2. 28ml  Uncapped/1. GBCyl28MtlRollBlk.psd,match:no-psd,Not established,Held pending integration/validation
GBMtlRoll28Wht,kd79ft7xbc5654fmfwc54w6q9981v61g,Master filename lineage verified,Review source crosswalk and exposed roller layers; rerender,13. 16 mm/1. 28ml Capped/2.  GBCyl28MtlRollWht.psd | 13. 16 mm/2. 28ml  Uncapped/2.  GBCyl28MtlRollWht.psd,match:no-psd,Not established,Held pending integration/validation
GBRoll28Blk,kd7eds9b9xeky0chzw0k29xkfh81tm2n,Master filename lineage verified,Review source crosswalk and exposed roller layers; rerender,13. 16 mm/1. 28ml Capped/3. GBCyl28RollBlk.psd | 13. 16 mm/2. 28ml  Uncapped/3. GBCyl28RollBlk.psd,match:no-psd,Not established,Held pending integration/validation
GBSpry1ozGl,kd7a8cgkj705mpet7bccz7j9s581vbmf,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/capped/GBSpry1ozGl.gif | https://www.bestbottles.com/product/Tube-Glass-Bottle-Sprayer-atomizer-Gold-1oz,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBSpry1ozSl,kd76zncfnd6djtaxf7edytzk3d81tv1s,Source exists with separate base,Verify base/body/cap layer assembly against direct reference,17. Additional Bottles/GBSpry1ozSl.psd | 18. Perfume Glass Bottles with Metal Decoration/GBSpry1ozSl.psd,source_preflight:no approved capped/front source,Not established,Held pending integration/validation
PbNat16ozFlpWh,kd7ca6p5mv6m0hyqftt40s0gz182bc8c,Legacy source recovered,Integrate exact-SKU legacy exception and complete-product plate; no kit,https://www.bestbottles.com/images/store/enlarged_pics/PbNat16ozFlpWh.gif | https://www.bestbottles.com/images/store/capped/PbNat16ozFlpWh.gif | https://www.bestbottles.com/images/store/PbNat16ozFlpWh.png,match:no-psd,Not established,Held pending integration/validation
GBSpry4mlClBlk,kd7c44m86w9xyzf16mpzg801n581tqeg,Assembled master view found,Select assembled source instead of side-cap view; resolve photograph conflict and rerender,17. Additional Bottles/GBSpry4mlClBlk.psd | 17. Additional Bottles/GBSpry4mlClBlk..psd | 18. Perfume Glass Bottles with Metal Decoration/GBSpry4mlClBlk..psd | 18. Perfume Glass Bottles with Metal Decoration/GBSpry4mlClBlk...psd,SAME_STEM_DIFFERENT_PHOTOGRAPH,Not established,Held pending integration/validation
GBSpry4mlClWh,kd7djnbsmjys5hy5a4sn30cwhs81vz4n,Assembled master view found,Select assembled source instead of side-cap view; resolve photograph conflict and rerender,17. Additional Bottles/GBSpry4mlClWh.psd | 17. Additional Bottles/GBSpry4mlClWh..psd | 18. Perfume Glass Bottles with Metal Decoration/GBSpry4mlClWh...psd | 18. Perfume Glass Bottles with Metal Decoration/GBSpry4mlClWh..psd,"source_preflight:visual source hold: Source depicts the overcap beside the bottle, not an assembled front-on view.",Not established,Held pending integration/validation
GBCyl5BlkShSht,kd7ebcj09nymrqvj8xdtj5bh9n8dnvtc,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBCyl5BlkShSht.png | https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-short-shiny-black-cap,"match:no-psd | confirmed_capacity_conflict:catalog=5.5,confirmed=5",No; use confirmed master and legacy source set,Held pending integration/validation
GBCyl5CuSht,kd7cre6c3jxryfddgcqe54abx98dn37f,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBCyl5CuSht.png | https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-short-matte-copper-cap,"match:no-psd | confirmed_capacity_conflict:catalog=5.5,confirmed=5",No; use confirmed master and legacy source set,Held pending integration/validation
GBCyl5GlMattSht,kd7a8rymbmmebhqr3cqp5zr2pd8dmxn0,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBCyl5GlMattSht.png | https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-short-matte-gold-cap,"match:no-psd | confirmed_capacity_conflict:catalog=5.5,confirmed=5",No; use confirmed master and legacy source set,Held pending integration/validation
GBCyl5GlSht,kd78yes30f1shc2pgm8mgtv0q58dnhn7,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBCyl5GlSht.png | https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-short-shiny-gold-cap,"match:no-psd | confirmed_capacity_conflict:catalog=5.5,confirmed=5",No; use confirmed master and legacy source set,Held pending integration/validation
GBCyl5SlMattSht,kd7fccw5vmx7ppcwwqythnmrfd8dnev3,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBCyl5SlMattSht.png | https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-short-matte-silver-cap,"match:no-psd | confirmed_capacity_conflict:catalog=5.5,confirmed=5",No; use confirmed master and legacy source set,Held pending integration/validation
GBCyl5SlSht,kd7a1h9kn9faqqfe6tza8p6cz98dnqyp,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBCyl5SlSht.png | https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-short-shiny-silver-cap,"match:no-psd | confirmed_capacity_conflict:catalog=5.5,confirmed=5",No; use confirmed master and legacy source set,Held pending integration/validation
GBCyl5WhtSht,kd7dmwshybhdca7cdcfy2rt6718dn6xf,Catalog capacity conflict,"Reconcile exact confirmed capacity with preserved IDs, then refresh media snapshot",5.  13-415 Bottles/2. Clear 5ml Cylinder/2. Clear 5ml Cly (Capped) PSD/2. GBCyl5WhtSht.psd | 5.  13-415 Bottles/2. Clear 5ml Cylinder/1. Clear 5ml Cly (Uncapped) PSD /2. GBCyl5WhtSht.psd | 5.  13-415 Bottles/24. 13-415 Bottles Capped Images/2. Clear 5ml Cly (Capped) PSD/2. GBCyl5WhtSht.psd,"confirmed_capacity_conflict:catalog=5.5,confirmed=5",Not established,Held pending integration/validation
GBCyl50AnSpWht,kd71jmqkp8gjbkah3v9sj2a28s81vsek,Complete assembly visible in master,Review state classifier and select complete vintage-bulb assembly,2.  18-415 Bottles /2. Cylindrical 50ml /1. Cylindrical 50ml PSD/40. GBCyl50AnSpWht.psd,source_preflight:no approved capped/front source,Not established,Held pending integration/validation
GBCyl50RdcrShnBlkTall,kd71ez010rag0na88zp5p45tb981tn6b,Copy-suffix source requires identity review,Verify source hash and view against exact SKU,2.  18-415 Bottles /2. Cylindrical 50ml /1. Cylindrical 50ml PSD/2. GBCyl50RdcrShnBlkTall.psd | 2.  18-415 Bottles /2. Cylindrical 50ml /1. Cylindrical 50ml PSD/2. GBCyl50RdcrShnBlkTall copy.psd,source_preflight:front source basename 'GBCyl50RdcrShnBlkTall copy' does not match website SKU 'GBCyl50RdcrShnBlkTall',Not established,Held pending integration/validation
GBCyl5RollBlkSh,kd72rnyy2z37h9kwxhsgsqazen81tjht,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCyl5MtlRollBlkSh' does not match website SKU 'GBCyl5RollBlkSh',Not established,Held pending integration/validation
GBCyl5RollCuMatt,kd7chww6frred7jecd88wekx0x81t5gv,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCyl5MtlRollCuMatt' does not match website SKU 'GBCyl5RollCuMatt',Not established,Held pending integration/validation
GBCyl5RollGlMatt,kd78y78kzaf67zb0aps1ereqhx81tmgs,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCyl5MtlRollGlMatt' does not match website SKU 'GBCyl5RollGlMatt',Not established,Held pending integration/validation
GBCyl5RollGlSh,kd75p31ad5y31fbyqmsrgskbfx81vzsa,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCyl5MtlRollGlSh' does not match website SKU 'GBCyl5RollGlSh',Not established,Held pending integration/validation
GBCyl5RollPinkDot,kd774erp2xb5n85fbwpfn67hpn81vwqn,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCyl5MtlRollPinkDot' does not match website SKU 'GBCyl5RollPinkDot',Not established,Held pending integration/validation
GBCyl5RollSlMatt,kd7cr825bp3bm50haypvape4bd81tyh6,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCyl5MtlRollSlMatt' does not match website SKU 'GBCyl5RollSlMatt',Not established,Held pending integration/validation
GBCyl5RollSlSh,kd703fenbgegh1ap42rx12e5k581vkbn,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCyl5MtlRollSlSh' does not match website SKU 'GBCyl5RollSlSh',Not established,Held pending integration/validation
GBCylBlu5BlkShSht,kd7c0r31d4c581hhv75p7h5eds82bmja,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBCylBlu5BlkShSht.png | https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-short-shiny-black-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBCylBlu5CuSht,kd79q7w1kb99nz31trakt3grn98dmabv,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBCylBlu5CuSht.png | https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-short-matte-copper-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBCylBlu5GlMattSht,kd7etwcrg3xmpnjfxnmvh5mk498dnk94,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBCylBlu5GlMattSht.png | https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-short-matte-gold-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBCylBlu5GlSht,kd731ja47yj2wdetfmdmw4mgtn8dnk9r,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBCylBlu5GlSht.png | https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-short-shiny-gold-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBCylBlu5RollBlkDot,kd7aw2tc5ed8hngthevhx6nrr581t2sn,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCylBlu5MtlRollBlkDot' does not match website SKU 'GBCylBlu5RollBlkDot',Not established,Held pending integration/validation
GBCylBlu5RollBlkSh,kd726txc611ksv12072t2e5cqx81tnvp,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCylBlu5MtlRollBlkSh' does not match website SKU 'GBCylBlu5RollBlkSh',Not established,Held pending integration/validation
GBCylBlu5RollCuMatt,kd7fjsv5t540j6hdhrstmnpyhn81vc47,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCylBlu5MtlRollCuMatt' does not match website SKU 'GBCylBlu5RollCuMatt',Not established,Held pending integration/validation
GBCylBlu5RollGlMatt,kd7cgyg41ncfk0jmt3t74872zn81t19a,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCylBlu5MtlRollGlMatt' does not match website SKU 'GBCylBlu5RollGlMatt',Not established,Held pending integration/validation
GBCylBlu5RollGlSh,kd7d2cwqzqnv7yx6y10n5me7ys81tfmr,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCylBlu5MtlRollGlSh' does not match website SKU 'GBCylBlu5RollGlSh',Not established,Held pending integration/validation
GBCylBlu5RollPinkDot,kd733htk2x2dqzx6mpfczqp9k581vkhx,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCylBlu5MtlRollPinkDot' does not match website SKU 'GBCylBlu5RollPinkDot',Not established,Held pending integration/validation
GBCylBlu5RollSlDot,kd749d5gwf3r3h2m93a1pvr4qn81va2z,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCylBlu5MtlRollSlDot' does not match website SKU 'GBCylBlu5RollSlDot',Not established,Held pending integration/validation
GBCylBlu5RollSlMatt,kd749fmf4cwdrfw72rz9dydps581thgb,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCylBlu5MtlRollSlMatt' does not match website SKU 'GBCylBlu5RollSlMatt',Not established,Held pending integration/validation
GBCylBlu5RollSlSh,kd7c138z8cwzgrceydd4ptft5x81tkwv,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBCylBlu5MtlRollSlSh' does not match website SKU 'GBCylBlu5RollSlSh',Not established,Held pending integration/validation
GBCylBlu5SlMattSht,kd7e1vm0y0sc9cbrxb9zvjc7r98dmf78,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBCylBlu5SlMattSht.png | https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-short-matte-silver-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBCylBlu5SlSht,kd7dh1bxnwxwypyk4qamanzg458dmyx3,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBCylBlu5SlSht.png | https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-short-shiny-silver-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBTallCyl9BlkShSht,kd7c0md28r38gkyc6cbrcpzf4x8dnxke,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBTallCyl9BlkShSht.png | https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-short-shiny-black-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBTallCyl9CuSht,kd7b5gchq3f4a58kv90kxmmm4x8dm009,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBTallCyl9CuSht.png | https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-short-matte-copper-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBTallCyl9GlMattSht,kd7dz86mcdmg46a97ts4xe1x6x8dm06x,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBTallCyl9GlMattSht.png | https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-short--bottle-short-matte-gold-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBTallCyl9GlSht,kd71brbgf6xccpxk3865z6v4e18dmx5a,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBTallCyl9GlSht.png | https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-short-shiny-gold-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBTallCyl9MtlRollBlkDot,kd740q8whf0v7p19cvrdr5fsqx81t3qb,Copy-suffix source requires identity review,Verify source hash and view against exact SKU,5.  13-415 Bottles/13. Tall Cylinder 9ml/2. Tall Cyl 9ml (capped) PSD /26. GBTallCyl9MtlRollBlkDot copy.psd | 5.  13-415 Bottles/13. Tall Cylinder 9ml/1. Tall Cyl 9ml  (uncapped) PSD/26. GBTallCyl9MtlRollBlkDot.psd | 5.  13-415 Bottles/24. 13-415 Bottles Capped Images/2. Tall Cyl 9ml (capped) PSD /26. GBTallCyl9MtlRollBlkDot copy.psd,source_preflight:front source basename 'GBTallCyl9MtlRollBlkDot copy' does not match website SKU 'GBTallCyl9MtlRollBlkDot',Not established,Held pending integration/validation
GBTallCyl9RollBlkSh,kd7980sq6ee4bny0ffcbtwyetn81vxb8,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBTallCyl9MtlRollBlkSh' does not match website SKU 'GBTallCyl9RollBlkSh',Not established,Held pending integration/validation
GBTallCyl9RollCuMatt,kd72z64g5qehe465ntcma1jvj981t8hn,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBTallCyl9MtlRollCuMatt' does not match website SKU 'GBTallCyl9RollCuMatt',Not established,Held pending integration/validation
GBTallCyl9RollGlMatt,kd7fnr8cc0cdyj7enfjc0j3sr981v75h,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBTallCyl9MtlRollGlMatt' does not match website SKU 'GBTallCyl9RollGlMatt',Not established,Held pending integration/validation
GBTallCyl9RollGlSh,kd70qzt9nq4ysaqgzbxwn2phf581te57,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBTallCyl9MtlRollGlSh' does not match website SKU 'GBTallCyl9RollGlSh',Not established,Held pending integration/validation
GBTallCyl9RollSlMatt,kd74hp0krav6pny3t52v0ryrms81tb8b,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBTallCyl9MtlRollSlMatt' does not match website SKU 'GBTallCyl9RollSlMatt',Not established,Held pending integration/validation
GBTallCyl9RollSlSh,kd74v9ztx125qxz19wesfp5qcx81v74w,Roller material / source identity review,Identify correct plastic roller and insert layers; verify cap-off assembly,,source_preflight:front source basename 'GBTallCyl9MtlRollSlSh' does not match website SKU 'GBTallCyl9RollSlSh',Not established,Held pending integration/validation
GBTallCyl9SlMattSht,kd7b5mw03j7sk07vnx59hpgtpd8dm3v2,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBTallCyl9SlMattSht.png | https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-short-matte-silver-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBTallCyl9SlSht,kd78yc3s7m12kpbzhnzyhd9xdx8dmr7c,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBTallCyl9SlSht.png | https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-short-shiny-silver-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBTallCylFrst9BlkShSht,kd7edj9f88psr2s9e3ktw03gg98dm9vv,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBTallCylFrst9BlkShSht.png | https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-short-shiny-black-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBTallCylFrst9CuSht,kd7ft8qxfyr1tg0p8phs019eyn8dmw8q,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBTallCylFrst9CuSht.png | https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-short-matte-copper-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
GBTallCylFrst9GlMattSht,kd73ckh554fcv571fvdmb0tthh8dmk59,Exact legacy assembly source recovered,Integrate verified assembly plate; inspect master component layers against exact legacy cap references,https://www.bestbottles.com/images/store/GBTallCylFrst9GlMattSht.png | https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-short-matte-gold-cap,match:no-psd,No; use confirmed master and legacy source set,Held pending integration/validation
